sched,carga,pathloss,alpha,seed,jfi_slots,jfi_throughput,jfi_win,starv_p95,starv_max,throughput_aggregate_bps,throughput_mean_per_ue_bps,thr_5pct,nunca,gini_slots,gini_throughput,slots_vec,thr_vec,j_beta_-3.0,j_beta_-2.0,j_beta_-1.0,j_beta_+0.0,j_beta_+0.5,j_beta_+0.9
RR,8,True,4.0,14,1.0,0.8680101105665359,1.0,8.0,8,45802542.0,5725317.75,3379567.025,0,0.0,0.20806815018039826,"1250,1250,1250,1250,1250,1250,1250,1250","7168608.500,5521207.500,3741192.250,3184845.750,6297583.000,10617568.000,4034077.500,5237459.500",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,14,0.2603026757865618,0.23469330756417833,0.2606149896114045,27.0,1367,92768368.15625,11596046.01953125,219638.78125,0,0.705125,0.7324017776367044,"1505,505,58,21,853,6684,78,296","12739765.000,3897052.250,373627.844,136721.594,6904149.000,65978184.000,520905.719,2217962.750",0.2136877247767428,0.2271607381660529,0.2603026757865618,0.37548892327631855,0.5536844409661688,0.8759291920613338
PF,8,True,4.0,14,0.9974511532211049,0.9206818059486913,0.9865495508967803,18.0,34,73691353.0,9211419.125,6203364.625,0,0.02707499999999996,0.1609080155578091,"1296,1238,1190,1175,1262,1387,1212,1240","11298146.000,9174136.000,6595937.000,5991979.500,10141426.000,14784773.000,7046911.500,8658044.000",0.9947690714893931,0.9961263859959423,0.997451153221105,0.998742541432969,0.9993755359112592,0.9998757911928305
RR,8,True,4.0,15,1.0,0.41983725231070973,1.0,8.0,8,25162021.03125,3145252.62890625,417801.0,0,0.0,0.5760351676800981,"1250,1250,1250,1250,1250,1250,1250,1250","1246652.375,495438.906,451687.938,5980422.000,11623336.000,3737030.750,1227898.875,399554.188",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,15,0.15588798911727242,0.14581393532906534,0.15611662799813877,11.0,315,95803835.10180664,11975479.38772583,0.0,4,0.8429,0.8531207139398176,"0,0,0,903,8907,189,1,0","0.000,0.000,0.000,6277320.500,88474400.000,1049186.250,2928.352,0.000",0.1458543619910041,0.1486225169254565,0.1558879891172724,0.1857635390927289,0.24211957932868858,0.3994803929890466
PF,8,True,4.0,15,0.9811156430804896,0.4935010090074985,0.9636775735758174,20.0,53,43627399.3125,5453424.9140625,993940.553125,0,0.0721750000000001,0.5161343921802559,"1180,1112,1108,1389,1626,1320,1173,1092","2644663.000,1190256.000,1073943.000,10362918.000,17463034.000,7192220.500,2749502.500,950862.312",0.9605419906409892,0.9709724671925432,0.9811156430804898,0.9908278577781298,0.9954867571641378,0.999109403057052
RR,8,True,4.0,16,1.0,0.9127912502407427,1.0,8.0,8,49116475.0,6139559.375,3669099.15,0,0.0,0.16854743749424195,"1250,1250,1250,1250,1250,1250,1250,1250","9915045.000,6256206.000,7406086.500,4886529.000,6684341.000,5937179.500,3013560.000,5017528.000",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,16,0.35985986078202326,0.32665643879196077,0.35815698323739503,30.0,3583,91750178.57421875,11468772.321777344,653140.8044921876,0,0.6018749999999999,0.6310984467263925,"5446,762,1756,229,1005,531,10,261","53314780.000,6293550.500,15541096.000,1751309.500,8496977.000,4297480.500,61819.199,1993165.875",0.27990791810606,0.3044489509499035,0.35985986078202326,0.5109329377698844,0.6757130662545504,0.9111249296067256
PF,8,True,4.0,16,0.9983092634314525,0.9449785667532897,0.9867843126678691,18.0,36,77987849.0,9748481.125,6532947.275,0,0.02200000000000002,0.13223974480947676,"1354,1247,1276,1222,1265,1254,1162,1220","14119289.000,10051389.000,11488566.000,8358047.500,10497830.000,9545619.000,5550201.000,8376907.500",0.9965975819853962,0.9974560468826128,0.9983092634314527,0.9991572355115931,0.9995792652436548,0.9999159562383605
RR,8,True,4.0,17,1.0,0.44942384805796964,1.0,8.0,8,24651006.0625,3081375.7578125,970128.090625,0,0.0,0.4648526930557806,"1250,1250,1250,1250,1250,1250,1250,1250","1041902.188,1211765.500,931480.500,1975851.375,11899757.000,3119477.750,1811497.750,2659274.000",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,17,0.13436704372423997,0.12892166922079465,0.13448689201248218,2.0,2899,95777556.61254883,11972194.576568604,6526.156359863282,0,0.8576250000000001,0.8679683793028228,"6,5,1,48,9643,166,28,103","13535.896,14603.043,2751.681,167772.656,94305504.000,731747.125,101021.961,440620.250",0.13120803837693445,0.13200499297012183,0.13436704372423994,0.15290082430395274,0.2419889204385247,0.7103999172258142
PF,8,True,4.0,17,0.9866394806708644,0.5746780999412654,0.96978507545832,20.0,43,43727188.75,5465898.59375,2177453.7,0,0.05372500000000002,0.3814906127769304,"1139,1158,1138,1209,1614,1277,1218,1247","2274428.500,2679562.750,2125236.500,4067201.750,17431578.000,5956806.000,3927455.250,5264920.000",0.9706202334102906,0.9789449371840296,0.9866394806708643,0.9936594944933963,0.9969136934556778,0.9993959963678131
RR,8,True,4.0,18,1.0,0.931590772965192,1.0,8.0,8,49709904.5,6213738.0625,4280276.1,0,0.0,0.14611462012565313,"1250,1250,1250,1250,1250,1250,1250,1250","5998410.000,7548995.000,4208079.500,4414355.500,6482808.000,5364726.000,9778748.000,5913782.500",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,18,0.3661268570393541,0.33109794985264335,0.36398590559559935,30.0,767,91249168.53125,11406146.06640625,705722.5328125,0,0.591375,0.6225987625377654,"648,1771,72,147,1001,358,5390,613","5297066.000,15602064.000,508395.781,1072186.500,8407877.000,2808645.750,52607564.000,4945369.500",0.2837183405380329,0.30894788610846213,0.3661268570393541,0.5251192651370833,0.7014233554020387,0.9280370503135648
